model,condition,seed,temperature,ambiguity_group,n,parse_success,candidate_count,valid_candidate_count,any_valid_candidate,any_valid_candidate_ci_low,any_valid_candidate_ci_high,all_candidates_valid,elapsed_seconds,raw_hit@1,raw_hit@1_ci_low,raw_hit@1_ci_high,raw_hit@3,raw_hit@5,raw_hit@5_ci_low,raw_hit@5_ci_high,raw_recall@5,raw_mrr,raw_mrr_ci_low,raw_mrr_ci_high,valid_hit@1,valid_hit@5,valid_mrr,top1_mark,top1_channels,top1_fields,top1_operations,top1_filters,top1_macro,top1_macro_ci_low,top1_macro_ci_high,best5_macro,best5_macro_ci_low,best5_macro_ci_high,graded_ndcg@5
qwen3:14b,direct,101,0.2,single_gold,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3333410999039188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
qwen3:14b,direct,202,0.2,multi_gold,149,1.0,3.664429530201342,1.9395973154362416,0.5637583892617449,0.48322147651006714,0.6442953020134228,0.4429530201342282,3.606482602005837,0.006711409395973154,0.0,0.020134228187919462,0.013422818791946308,0.013422818791946308,0.0,0.03355704697986577,0.010067114093959731,0.008948545861297539,0.0,0.024608501118568233,0.006711409395973154,0.013422818791946308,0.008948545861297539,0.8859060402684564,0.9299936081815277,0.5037711728986897,0.53668903803132,0.6912751677852349,0.7095270054330457,0.6773823106423777,0.7448437200383509,0.7358868648130393,0.7038306168104826,0.7689050814956855,0.6836432097404243
qwen3:14b,direct,202,0.2,single_gold,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3461738999467343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
qwen3:14b,direct,303,0.2,multi_gold,149,1.0,3.825503355704698,1.9664429530201342,0.5369127516778524,0.4563758389261745,0.6174496644295302,0.4228187919463087,3.8864493684518155,0.0,0.0,0.0,0.0,0.006711409395973154,0.0,0.020134228187919462,0.003355704697986577,0.0016778523489932886,0.0,0.0050335570469798654,0.0,0.006711409395973154,0.0022371364653243847,0.8926174496644296,0.9282678171939917,0.48149568552253114,0.5299776286353467,0.6912751677852349,0.7047267497603068,0.671188958133589,0.7401585969958454,0.7296292745286034,0.6970121444550975,0.7611379833812719,0.6941921528523257
qwen3:14b,direct,303,0.2,single_gold,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3592666999902576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
qwen3:14b,direct,44,0.0,multi_gold,10,1.0,4.2,1.8,0.6,0.3,0.9,0.2,5.83364447002532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8823809523809524,0.3833333333333333,0.3,0.9,0.6531428571428571,0.5251,0.79,0.7001904761904763,0.5777095238095238,0.8233333333333334,0.6221243468064489
qwen3:14b,direct,55,0.0,multi_gold,894,1.0,3.8512304250559284,2.145413870246085,0.5894854586129754,0.5570469798657718,0.6219239373601789,0.4429530201342282,3.808429627180942,0.003355704697986577,0.0,0.007829977628635347,0.007829977628635347,0.012304250559284116,0.005592841163310962,0.020134228187919462,0.008277404921700223,0.006226696495152871,0.0022744220730797913,0.010832401193139444,0.0044742729306487695,0.012304250559284116,0.0073639075316927665,0.9004474272930649,0.9284631227584248,0.5132479315365222,0.5568605518269948,0.6935123042505593,0.7185062675331132,0.7046165441568125,0.7318918584212208,0.7483219701004936,0.7353573026526046,0.760431034941941,0.7250006359975816
qwen3:14b,direct,55,0.0,single_gold,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.538226485701411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8095238095238095,0.9523809523809523,0.42857142857142855,0.8380952380952381,0.7238095238095238,0.9428571428571428,0.8380952380952381,0.7238095238095238,0.9428571428571428,0.7979028388090135
qwen3:14b,direct_rich,55,0.0,multi_gold,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.024876288249999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:14b,staged,101,0.2,multi_gold,149,1.0,1.5503355704697988,0.7919463087248322,0.5033557046979866,0.42953020134228187,0.5906040268456376,0.4429530201342282,14.195808030868843,0.12751677852348994,0.08053691275167785,0.18120805369127516,0.14093959731543623,0.14093959731543623,0.087248322147651,0.20134228187919462,0.0558165548098434,0.1342281879194631,0.08389261744966443,0.18800335570469753,0.12751677852348994,0.14093959731543623,0.1342281879194631,0.8791946308724832,0.9174177053371684,0.5353787152444871,0.5369127516778524,0.7449664429530202,0.7227740492170023,0.6885998721636305,0.7569030041546819,0.7435027165228507,0.7124558964525407,0.773045861297539,0.4149145115804261
