condition,record_id,gold_family,left_seed,right_seed,top1_agreement,candidate_set_jaccard,valid_set_jaccard,rank_biased_overlap_p90
direct,nvbench2:test:297,bar,101,202,1.0,0.3333333333333333,0.3333333333333333,0.5428899999999999
direct,nvbench2:test:297,bar,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:297,bar,202,303,1.0,0.3333333333333333,0.3333333333333333,0.5428899999999999
direct,nvbench2:test:298,line,101,202,0.0,0.0,1.0,0.0
direct,nvbench2:test:298,line,101,303,0.0,0.0,1.0,0.0
direct,nvbench2:test:298,line,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:303,boxplot,101,202,1.0,0.6666666666666666,0.6666666666666666,0.8687799999999999
direct,nvbench2:test:303,boxplot,101,303,1.0,0.6666666666666666,0.6666666666666666,0.8687799999999999
direct,nvbench2:test:303,boxplot,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:317,arc,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:317,arc,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:317,arc,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:319,point,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:319,point,101,303,1.0,0.6666666666666666,1.0,0.8687799999999999
direct,nvbench2:test:319,point,202,303,1.0,0.6666666666666666,1.0,0.8687799999999999
direct,nvbench2:test:320,rect,101,202,0.0,0.0,0.0,0.0
direct,nvbench2:test:320,rect,101,303,0.0,0.0,0.0,0.0
direct,nvbench2:test:320,rect,202,303,0.0,0.0,0.0,0.0
direct,nvbench2:test:325,rect,101,202,0.0,0.0,0.0,0.0
direct,nvbench2:test:325,rect,101,303,0.0,0.1111111111111111,0.14285714285714285,0.13122
direct,nvbench2:test:325,rect,202,303,0.0,0.0,0.0,0.0
direct,nvbench2:test:332,rect,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:332,rect,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:332,rect,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:335,arc,101,202,1.0,0.2,0.0,0.321445
direct,nvbench2:test:335,arc,101,303,1.0,0.2,0.0,0.321445
direct,nvbench2:test:335,arc,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:341,rect,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:341,rect,101,303,0.0,0.0,0.0,0.0
direct,nvbench2:test:341,rect,202,303,0.0,0.0,0.0,0.0
direct,nvbench2:test:344,rect,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:344,rect,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:344,rect,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:349,arc,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:349,arc,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:349,arc,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:351,boxplot,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:351,boxplot,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:351,boxplot,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:355,rect,101,202,0.0,0.0,0.0,0.0
direct,nvbench2:test:355,rect,101,303,0.0,0.0,0.0,0.0
direct,nvbench2:test:355,rect,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:365,point,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:365,point,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:365,point,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:366,boxplot,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:366,boxplot,101,303,1.0,1.0,1.0,1.0
