record_id,model,condition,gold_family,emitted_count,unique_count,done_reason,generated_tokens,token_limit_completion,emit_0,emit_1,emit_2,emit_3,emit_4,emit_5
nvbench2:dev:718,gemma3:27b,direct,boxplot,1,1,stop,22,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nvbench2:dev:719,gemma3:27b,direct,arc,2,2,stop,65,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:721,gemma3:27b,direct,boxplot,3,3,stop,127,0.0,0.0,0.0,0.0,1.0,0.0,0.0
nvbench2:dev:723,gemma3:27b,direct,boxplot,3,3,stop,57,0.0,0.0,0.0,0.0,1.0,0.0,0.0
nvbench2:dev:725,gemma3:27b,direct,boxplot,1,1,stop,27,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nvbench2:dev:732,gemma3:27b,direct,bar+line+rect,2,2,stop,74,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:733,gemma3:27b,direct,bar+line+rect,3,3,stop,99,0.0,0.0,0.0,0.0,1.0,0.0,0.0
nvbench2:dev:17,gemma3:27b,direct_rich,line,3,3,stop,130,0.0,0.0,0.0,0.0,1.0,0.0,0.0
nvbench2:dev:22,gemma3:27b,direct_rich,boxplot,1,1,stop,20,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nvbench2:dev:23,gemma3:27b,direct_rich,point,2,2,stop,56,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:25,gemma3:27b,direct_rich,rect,1,1,stop,63,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nvbench2:dev:33,gemma3:27b,direct_rich,arc,3,3,stop,65,0.0,0.0,0.0,0.0,1.0,0.0,0.0
nvbench2:dev:34,gemma3:27b,direct_rich,point,1,1,stop,25,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nvbench2:dev:35,gemma3:27b,direct_rich,bar+line+point+rect,2,2,stop,60,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:39,gemma3:27b,direct_rich,arc,2,2,stop,42,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:40,gemma3:27b,direct_rich,rect,1,1,stop,27,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nvbench2:dev:41,gemma3:27b,direct_rich,arc,3,3,stop,74,0.0,0.0,0.0,0.0,1.0,0.0,0.0
nvbench2:dev:48,gemma3:27b,direct_rich,arc,2,2,stop,52,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:49,gemma3:27b,direct_rich,line,2,2,stop,50,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:51,gemma3:27b,direct_rich,bar,2,2,stop,81,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:54,gemma3:27b,direct_rich,bar,1,1,stop,34,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nvbench2:dev:57,gemma3:27b,direct_rich,rect,1,1,stop,35,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nvbench2:dev:61,gemma3:27b,direct_rich,arc,2,2,stop,46,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:63,gemma3:27b,direct_rich,arc,3,3,stop,74,0.0,0.0,0.0,0.0,1.0,0.0,0.0
nvbench2:dev:68,gemma3:27b,direct_rich,arc,3,3,stop,73,0.0,0.0,0.0,0.0,1.0,0.0,0.0
nvbench2:dev:72,gemma3:27b,direct_rich,arc,3,3,stop,158,0.0,0.0,0.0,0.0,1.0,0.0,0.0
nvbench2:dev:73,gemma3:27b,direct_rich,arc,3,3,stop,89,0.0,0.0,0.0,0.0,1.0,0.0,0.0
nvbench2:dev:76,gemma3:27b,direct_rich,bar,3,3,stop,102,0.0,0.0,0.0,0.0,1.0,0.0,0.0
nvbench2:dev:83,gemma3:27b,direct_rich,arc,2,2,stop,41,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:84,gemma3:27b,direct_rich,rect,1,1,stop,34,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nvbench2:dev:89,gemma3:27b,direct_rich,arc,2,2,stop,64,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:92,gemma3:27b,direct_rich,arc,2,2,stop,46,0.0,0.0,0.0,1.0,0.0,0.0,0.0
