record_id,model,condition,gold_family,gold_count,candidate_count,exact_recall@5,core_recall@5,component_identical_recall@5,matched_recall@5_tau80,matched_recall@5_tau90,exact_recovered,core_recovered,component_identical_recovered,matched_recovered_tau80,matched_recovered_tau90,elapsed_seconds,prompt_tokens,generated_tokens,total_tokens
nvbench2:dev:332,gemma3:27b,direct,arc,3,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4.913921541999969,317,68,385
nvbench2:dev:336,gemma3:27b,direct,arc,5,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.702705625000021,328,83,411
nvbench2:dev:338,gemma3:27b,direct,rect,3,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.514964249999991,322,80,402
nvbench2:dev:340,gemma3:27b,direct,rect,3,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4.3442763339999715,327,56,383
nvbench2:dev:346,gemma3:27b,direct,bar+line+rect,5,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,9.279269250000027,406,151,557
nvbench2:dev:358,gemma3:27b,direct,bar,2,3,0.0,0.0,0.0,0.5,0.0,0,0,0,1,0,6.360255333000055,399,90,489
nvbench2:dev:362,gemma3:27b,direct,rect,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,6.577071334000038,342,103,445
nvbench2:dev:367,gemma3:27b,direct,bar,2,2,0.0,0.0,0.0,0.5,0.0,0,0,0,1,0,5.054222250000066,333,72,405
nvbench2:dev:381,gemma3:27b,direct,rect,3,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.037008667000009,367,68,435
nvbench2:dev:383,gemma3:27b,direct,rect,3,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4.16638762499997,336,52,388
nvbench2:dev:384,gemma3:27b,direct,bar,3,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,8.359064208000063,358,136,494
nvbench2:dev:388,gemma3:27b,direct,rect,1,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,6.327930832999982,298,102,400
nvbench2:dev:394,gemma3:27b,direct,arc,2,2,0.0,0.0,0.0,0.5,0.5,0,0,0,1,1,4.103050082999971,294,56,350
nvbench2:dev:398,gemma3:27b,direct,line,4,2,0.25,0.25,0.25,0.5,0.25,1,1,1,2,1,3.7401590829999805,279,48,327
nvbench2:dev:403,gemma3:27b,direct,point,2,5,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,12.74951554200004,331,234,565
nvbench2:dev:405,gemma3:27b,direct,bar,5,3,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,5.386371666000059,320,79,399
nvbench2:dev:421,gemma3:27b,direct,arc,3,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4.108829874999969,502,33,535
nvbench2:dev:422,gemma3:27b,direct,arc,5,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,12.492171125000027,517,209,726
nvbench2:dev:436,gemma3:27b,direct,point,3,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4.763607417000003,445,52,497
nvbench2:dev:444,gemma3:27b,direct,point,2,5,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,15.90356670899996,457,284,741
nvbench2:dev:445,gemma3:27b,direct,boxplot,4,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3.4316175830000475,444,22,466
nvbench2:dev:455,gemma3:27b,direct,bar,2,2,0.0,0.0,0.0,1.0,1.0,0,0,0,2,2,4.235119832999999,335,57,392
nvbench2:dev:457,gemma3:27b,direct,arc,2,2,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,4.532020500000044,337,61,398
nvbench2:dev:462,gemma3:27b,direct,bar,3,2,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,0,1,0,4.026574125000025,288,54,342
nvbench2:dev:463,gemma3:27b,direct,bar+line+point,4,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,18.732865167,571,330,901
nvbench2:dev:465,gemma3:27b,direct,arc,5,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4.52053945800003,530,33,563
nvbench2:dev:470,gemma3:27b,direct,boxplot,5,2,0.0,0.0,0.0,0.2,0.0,0,0,0,1,0,4.8877304579999645,529,50,579
nvbench2:dev:475,gemma3:27b,direct,bar+line,4,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.909989957999983,534,69,603
nvbench2:dev:485,gemma3:27b,direct,bar,3,2,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,0,1,0,6.798183624999979,303,110,413
nvbench2:dev:492,gemma3:27b,direct,arc,5,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4.024353333000022,315,55,370
nvbench2:dev:495,gemma3:27b,direct,boxplot,3,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,2,2,2,2,4.029520208000008,313,54,367
nvbench2:dev:498,gemma3:27b,direct,arc,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4.7219941250000375,280,72,352
